episode,step,time_s,q1,q2,qd1,qd2,tau1,tau2,hand_x,hand_y,hand_z,reward,dist
0,1,0.02,0.046785505595280046,0.5257848434621013,-1.4202982361078322,6.58706758593208,-2.8669776916503906,3.9788818359375,0.5388860683944154,0.0,1.2448445976089288,-0.2806804158680752,0.11628914624452591
0,2,0.04,0.030972611685013144,0.6014685542211181,-1.6968913261400118,8.315927231972623,-2.873699188232422,1.3131866455078125,0.5305545208227147,0.0,1.2372490325832564,-0.2390892117023468,0.11100031435489655
0,3,0.06,0.015704573208427174,0.6798404053390216,-1.3925983989481143,7.463263742622396,-3.0508155822753906,-0.3695068359375,0.5205641681930704,0.0,1.2291349399125753,-0.22464364767074585,0.10616840422153473
0,4,0.08,0.004541935017168981,0.744236628837598,-0.9025699892835501,5.644161578808028,-3.273540496826172,-1.2495002746582031,0.5112877786280414,0.0,1.2221692346077764,-0.2191973063349724,0.10304799675941467
0,5,0.1,-0.001880012914711884,0.790185582515646,-0.4399706471072534,3.772846174102139,-3.5528907775878906,-1.54437255859375,0.503925636253679,0.0,1.2166912884793448,-0.2180919184535742,0.10145940631628036
0,6,0.12,-0.0042132387442609925,0.8190652987710026,-0.0714338279516092,2.1886330508305987,-3.799396514892578,-1.5309295654296875,0.4987511636689082,0.0,1.2125211359226458,-0.21841727702319622,0.10078858584165573
0,7,0.14,-0.003434262635913162,0.8341917347018862,0.19587759711363512,0.9746187272851095,-3.9936981201171875,-1.3821258544921875,0.49554481791016497,0.0,1.2093719746130525,-0.21899373783916234,0.10053697228431702
0,8,0.16,-0.0004341904025169886,0.8389411459123983,0.38282816631834493,0.0753106240350071,-4.131114959716797,-1.2225151062011719,0.49391766048540636,0.0,1.2069932120477116,-0.21946217514202,0.10042858123779297
0,9,0.18,0.004038703769069527,0.8363375094093669,0.4987719605177022,-0.5295891519670946,-4.238834381103516,-1.0465965270996094,0.49345951135393573,0.0,1.205189392847801,-0.21980150296166537,0.10034793615341187
0,10,0.2,0.009350740225706517,0.8290549863916743,0.5571013225511098,-0.8876827314783375,-4.3181304931640625,-0.8872833251953125,0.49377248355378683,0.0,1.2037983166819104,-0.21999658503755928,0.10026569664478302
0,11,0.22,0.015000345289457153,0.8192570228755292,0.5710951136866607,-1.0534892337277622,-4.377815246582031,-0.7586288452148438,0.4945230370988542,0.0,1.2026911267378404,-0.22013295310921968,0.10018602758646011
0,12,0.24,0.020615271030425892,0.8085599340781044,0.5535402554446557,-1.0822523775002881,-4.4212799072265625,-0.6652870178222656,0.49546010347824493,0.0,1.201770481655286,-0.22023824285995217,0.10011865943670273
0,13,0.26,0.025944094754994398,0.7980559075077068,0.516011830962357,-1.0242550247029598,-4.4496002197265625,-0.6050910949707031,0.4964152577911314,0.0,1.200968247721546,-0.2203073415197432,0.10006891936063766
0,14,0.28,0.030838656106711236,0.7883895352255286,0.46784244059736585,-0.9198244495457245,-4.465309143066406,-0.571533203125,0.4972907327350516,0.0,1.2002416576679693,-0.22034098169091157,0.10003698617219925
0,15,0.3,0.03523027335883995,0.7798644980612075,0.4158572105574972,-0.7979946560160605,-4.470817565917969,-0.5568885803222656,0.4980416193525348,0.0,1.1995679579187493,-0.22033880014368332,0.10002011060714722
0,16,0.32,0.03910548972743419,0.7725523470720124,0.36451942701907186,-0.6772548573132066,-4.468326568603516,-0.5539817810058594,0.4986580490802156,0.0,1.1989384271704817,-0.22030213700905732,0.10001464188098907
0,17,0.34,0.04248481681881114,0.7663866882444874,0.31636086821395026,-0.567599400254372,-4.459739685058594,-0.5571327209472656,0.4991502573795539,0.0,1.1983527653395418,-0.22023412332726003,0.10001718252897263
0,18,0.36,0.045406311272523855,0.7612348175371163,0.2725081618399582,-0.4729469484677113,-4.446601867675781,-0.5623512268066406,0.4995376022461084,0.0,1.1978145698830265,-0.22013861350272781,0.10002495348453522
0,19,0.38,0.04791440825480155,0.7569454765852248,0.23320610307122633,-0.3934961051945749,-4.430110931396484,-0.5672531127929688,0.4998414493672307,0.0,1.1973281933232773,-0.2200195873803459,0.10003581643104553
0,20,0.4,0.05005330279493054,0.7533762527787111,0.19821556990938816,-0.3274972657936804,-4.4112091064453125,-0.5706405639648438,0.5000812283858115,0.0,1.196896917874001,-0.21988110295904337,0.10004816949367523
0,21,0.42,0.051863712135275665,0.7504060107219388,0.16710248492616722,-0.2725245340723,-4.390636444091797,-0.5721626281738281,0.5002727284022318,0.0,1.1965221527426286,-0.21972715518251063,0.10006083548069
0,22,0.44,0.053381821791349246,0.7479377797404803,0.1393990625258719,-0.2261734695929511,-4.368991851806641,-0.5719261169433594,0.5004278048072532,0.0,1.196203317843602,-0.2195615864318097,0.1000729650259018
0,23,0.46,0.05463944286255954,0.745896433097482,0.11469261425594536,-0.18643941035009412,-4.346778869628906,-0.5702896118164062,0.5005548277990988,0.0,1.1959381076722264,-0.21938821179198567,0.10008399933576584
0,24,0.48,0.05566473191705924,0.7442240503527513,0.09265574440931083,-0.15183161987734464,-4.324420928955078,-0.5676841735839844,0.5006594568929332,0.0,1.1957229309947934,-0.21921059539564886,0.10009360313415527
0,25,0.5,0.056482989109411706,0.7428751120823874,0.07303631748908493,-0.12131228846531893,-4.3022918701171875,-0.5644950866699219,0.5007454323869083,0.0,1.1955533672633434,-0.21903205122658984,0.10010159015655518
0,26,0.52,0.0571173453126998,0.741812375698098,0.0556455773467866,-0.09422296553084376,-4.28070068359375,-0.5610504150390625,0.5008152486513021,0.0,1.195424565427184,-0.21885552956257015,0.10010793805122375
0,27,0.54,0.05758926096150679,0.7410037681106183,0.040333800433683585,-0.07016059459314815,-4.259914398193359,-0.557586669921875,0.5008706728759181,0.0,1.1953315608917046,-0.2186836171275936,0.10011269897222519
0,28,0.56,0.057918839153515575,0.7404202906228228,0.026976387045644472,-0.04889464742862521,-4.240135192871094,-0.5542716979980469,0.5009131010715482,0.0,1.1952695026892117,-0.2185183495221427,0.10011599212884903
0,29,0.58,0.0581249708363565,0.7400348355250079,0.015454774622715429,-0.030269442307059052,-4.221530914306641,-0.5511970520019531,0.5009437760782717,0.0,1.195233801019108,-0.2183614297818276,0.10011796653270721
0,30,0.6,0.058225368771526446,0.7398216456149557,0.005651707023715242,-0.01416662975966658,-4.204216003417969,-0.5484161376953125,0.500963897500866,0.0,1.195220210883032,-0.21821411691058892,0.10011880844831467
0,31,0.62,0.058236543371356676,0.7397561677477923,-0.0025554454685986347,-0.0004643263974178051,-4.188270568847656,-0.5459442138671875,0.5009746683059316,0.0,1.195224873342754,-0.21807730521191843,0.10011868923902512
0,32,0.64,0.05817375597361726,0.7398151246875146,-0.009293400085811114,0.010969474702689287,-4.173732757568359,-0.5437812805175781,0.5009772989375674,0.0,1.1952443264628037,-0.21795155038349912,0.10011779516935349
0,33,0.66,0.0580504634714548,0.7399784806544156,-0.014785663156072599,0.020612181279195587,-4.160945892333984,-0.5417327880859375,0.5009728035166434,0.0,1.1952754401126113,-0.217839663239909,0.10011627525091171
0,34,0.68,0.05787852217845436,0.7402286530719234,-0.01914136578581367,0.02852347635263883,-4.149559020996094,-0.5400238037109375,0.5009620095048182,0.0,1.1953154233892522,-0.21773918499636058,0.10011429339647293
0,35,0.7,0.05766893189367598,0.7405479391307103,-0.02242727217093764,0.03463407763601838,-4.1393585205078125,-0.5387077331542969,0.5009459258479299,0.0,1.1953619347195452,-0.21764855401108799,0.10011197626590729
0,36,0.72,0.05743185895950251,0.7409187530928457,-0.024739943101815237,0.03902042717942389,-4.130321502685547,-0.5376739501953125,0.5009257322743175,0.0,1.1954130403766334,-0.21756758714237365,0.10010942816734314
