state,q1,q2,qdot1,qdot2,tau1,tau2,mujoco_qacc1,mujoco_qacc2,mujoco_qfrc_bias1,mujoco_qfrc_bias2,mujoco_qfrc_passive1,mujoco_qfrc_passive2,mujoco_qfrc_actuator1,mujoco_qfrc_actuator2,mujoco_qfrc_applied1,mujoco_qfrc_applied2,mujoco_qfrc_constraint1,mujoco_qfrc_constraint2,mujoco_efc_force_max,shoulder_margin_deg,elbow_margin_deg,mujoco_M11,mujoco_M12,mujoco_M22,mujoco_M_det,mujoco_M_cond,bridge_M11,bridge_M12,bridge_M22,bridge_Cqd1,bridge_Cqd2,bridge_G1,bridge_G2,bridge_qdd_default1,bridge_qdd_default2,bridge_qdd_mujoco_sign1,bridge_qdd_mujoco_sign2,bridge_qdd_mujoco_sign_tau_eff1,bridge_qdd_mujoco_sign_tau_eff2,mujoco_dof_damping1,mujoco_dof_damping2
q00,0.0,0.0,0.0,0.0,0.0,0.0,38.868144406997736,-52.95098094211153,-4.347239058736047,-0.7712460738911899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.16610411587474738,0.03982777403096438,0.014669900061017302,0.0008504791953446208,36.39703345935864,0.19993157432100966,0.0490054420039594,0.023847568034012327,-0.0,0.0,4.347239058736046,0.7712460738911898,-27.838598233100996,24.866130435053687,27.838598233100996,-24.866130435053687,27.838598233100996,-24.866130435053687,0.12,0.12
step470,2.058393343404651,0.10853830996636736,3.819400850659012,0.9737831533266728,0.0,0.0,-16.227847602977796,3.7009379924316406,2.0855271553454857,0.47277028256426296,-0.4583281020790814,-0.11685397839920073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0627488450907663,6.21878707655557,0.16580803275212458,0.039679732469652944,0.014669900061017302,0.0008579061009243214,35.93936570323556,0.1996354911983868,0.04885740044264796,0.023847568034012327,-0.022855973402320623,0.03975524482285658,-2.108383128747805,-0.43301503774140615,13.316853214679705,-10.792171212592992,-11.22112223920633,3.1644560143371048,-13.420500084092543,2.7703657534978023,0.12,0.12
step480,2.095688072907325,0.11845745694476507,3.6550246634073926,1.0056325520694707,0.0,0.0,-369.3918699403466,955.9630093415288,2.2297898916876258,0.5023731424790535,-0.4386029596088871,-0.12067590624833648,0.0,0.0,0.0,0.0,-20.65352785644548,0.0,0.0,-0.07408175349448243,6.787112334787702,0.16575150894231516,0.03965147056474827,0.014669900061017307,0.0008593189531994813,35.85313585468553,0.19957896738857747,0.048829138537743295,0.023847568034012327,-0.024863220070435614,0.03971922884506088,-2.254653111758061,-0.4626539136339925,14.192300226571316,-11.32455555880542,-12.059936125668107,3.627336306752775,-13.982778834344133,2.504154554974007,0.12,0.12
step486,2.1108962748873368,0.14138561111834066,1.8557100387038636,5.475450931746508,0.0,0.0,-226.0125066379533,531.0010022328581,2.1463700645599544,0.49805270160960036,-0.22268520464446362,-0.657054111809581,0.0,0.0,0.0,0.0,-14.043789973593197,0.0,0.0,-0.9454475409316672,8.100798800958847,0.16560204990577088,0.039576741046476085,0.014669900061017298,0.0008630470901574329,35.62685917855713,0.19942950835203313,0.04875440901947112,0.023847568034012327,-0.17832768781541808,0.012208196272267751,-2.3246977523753722,-0.4858445053373323,15.384824622352228,-11.59202996597617,-11.309115930804795,2.235723242446844,-0.07552037909724234,-48.282695339212864,0.12,0.12
