bridge_qdd1,bridge_qdd2,delta1,delta2,mujoco_qacc1,mujoco_qacc2,state,tau_eff1,tau_eff2,variant
-28.444314428705418,29.48511781413267,64.88843857939301,-75.12113374373592,36.4441241506876,-45.63601592960326,step0,,,mj_damp1_vs_bridge_no_damp
-28.444314428705418,29.48511781413267,65.06371455130369,-75.84209249225023,36.61940012259827,-46.35697467811757,step0,,,mj_damp0_vs_bridge_no_damp
-28.556779891623048,29.895253016745087,65.00090404231065,-75.53126894634835,36.4441241506876,-45.63601592960326,step0,-0.00437322087806285,0.005475721064475226,mj_damp1_vs_bridge_manual_tau_eff
13.316853214679705,-10.792171212592992,-29.5447008176575,14.493109205024632,-16.227847602977796,3.7009379924316406,pre_event_470,,,mj_damp1_vs_bridge_no_damp
13.316853214679705,-10.792171212592992,-27.112158550488026,15.879032212831605,-13.79530533580832,5.086861000238613,pre_event_470,,,mj_damp0_vs_bridge_no_damp
11.117475369793498,-11.186261473432303,-27.345322972771292,14.887199465863944,-16.227847602977796,3.7009379924316406,pre_event_470,-0.4583281020790814,-0.11685397839920073,mj_damp1_vs_bridge_manual_tau_eff
14.192300226571316,-11.32455555880542,-383.58417016691794,967.2875649003342,-369.3918699403466,955.9630093415288,event_onset_480,,,mj_damp1_vs_bridge_no_damp
14.192300226571316,-11.32455555880542,-383.48725846275886,975.2517101349673,-369.29495823618754,963.9271545761619,event_onset_480,,,mj_damp0_vs_bridge_no_damp
12.269457517895292,-12.447737310584188,-381.66132745824194,968.4107466521131,-369.3918699403466,955.9630093415288,event_onset_480,-0.4386029596088871,-0.12067590624833648,mj_damp1_vs_bridge_manual_tau_eff
15.384824622352228,-11.59202996597617,-241.39733126030552,542.5930321988343,-226.0125066379533,531.0010022328581,post_event_486,,,mj_damp1_vs_bridge_no_damp
15.384824622352228,-11.59202996597617,-242.7330784093311,590.9859065795276,-227.3482537869789,579.3938766135515,post_event_486,,,mj_damp0_vs_bridge_no_damp
26.618420174059786,-62.110448547635876,-252.6309268120131,593.111450780494,-226.0125066379533,531.0010022328581,post_event_486,-0.22268520464446362,-0.657054111809581,mj_damp1_vs_bridge_manual_tau_eff
-27.838598233100996,24.866130435053687,66.70674264009872,-77.81711137716522,38.868144406997736,-52.95098094211153,sanity_q0,,,mj_damp1_vs_bridge_no_damp
-27.838598233100996,24.866130435053687,66.70674264009872,-77.81711137716522,38.868144406997736,-52.95098094211153,sanity_q0,,,mj_damp0_vs_bridge_no_damp
-27.838598233100996,24.866130435053687,66.70674264009872,-77.81711137716522,38.868144406997736,-52.95098094211153,sanity_q0,0.0,0.0,mj_damp1_vs_bridge_manual_tau_eff
